,coverage_pct
sp500_return,99.9
spy_volume,100.0
vix,100.0
tech_etf_return,99.9
fin_etf_return,99.9
gold_return,99.9
dxy_return,99.9
bitcoin_price,100.0
bitcoin_return,100.0
bitcoin_volume,100.0
ethereum_price,100.0
ethereum_return,100.0
ethereum_volume,100.0
btc_hash_rate,100.0
btc_daily_tx_count,100.0
btc_daily_tx_volume_usd,100.0
btc_miner_revenue_usd,100.0
btc_mempool_size,100.0
stablecoin_total_mcap_usd,100.0
stocktwits_sentiment_weighted,100.0
stocktwits_sentiment_mean,100.0
stocktwits_bullish_ratio,100.0
stocktwits_msg_count,100.0
fear_greed_index,100.0
fed_funds_rate,100.0
vix_fred,100.0
usdeur_exchange,100.0
crude_oil_wti,100.0
inflation_breakeven_10y,100.0
hy_credit_spread,100.0
epu_index,100.0
reg_dummy_positive,100.0
reg_dummy_negative,100.0
reg_dummy_net,100.0
bw_sentiment,100.0
bw_sentiment_orthogonalized,100.0
gtrends_bitcoin,100.0
gtrends_crypto_crash,100.0
gtrends_buy_bitcoin,100.0
gtrends_ethereum,100.0
gtrends_crypto,100.0
bitcoin_mcap,100.0
stablecoin_supply_ratio,100.0
log_bitcoin_volume,100.0
log_ethereum_volume,100.0
log_bitcoin_mcap,100.0
log_btc_daily_tx_count,100.0
log_btc_daily_tx_volume_usd,100.0
log_epu_index,100.0
log_btc_miner_revenue_usd,100.0
